# Longitude coordinate bin edges:
0.,7.2,14.4,21.6,28.8,36.,43.2,50.4,57.6,64.8,72.,79.2,86.4,93.6,100.8,108.,115.2,122.4,129.6,136.8,144.,151.2,158.4,165.6,172.8,180.,187.2,194.4,201.6,208.8,216.,223.2,230.4,237.6,244.8,252.0,259.2,266.4,273.6,280.8,288.,295.2,302.4,309.6,316.8,324.,331.2,338.4,345.6,352.8,360
# Latitude coordinate bin edges:
-90,-81,-72,-63,-54,-45,-36,-27,-18,-9,0.0,9,18,27,36,45,54,63,72,81,90
# Data matrix:
0,0.150733,0.301085,0.450677,0.59913,0.74607,0.891125,1.03393,1.17412,1.31135,1.44526,1.57552,1.70181,1.82379,1.94117,2.05364,2.16093,2.26275,2.35887,2.44902,2.53298,2.61055,2.68152,2.74572,2.80299,2.85317,2.89614,2.9318,2.96006,2.98083,2.99408,2.99976,2.99787,2.9884,2.97138,2.94686,2.9149,2.87557,2.82897,2.77523,2.71448,2.64687,2.57258,2.49179,2.4047,2.31154,2.21254,2.10795,1.99804,1.88307,1.76336
0.1125,0.263233,0.413585,0.563177,0.71163,0.85857,1.00362,1.14643,1.28662,1.42385,1.55776,1.68802,1.81431,1.93629,2.05367,2.16614,2.27343,2.37525,2.47137,2.56152,2.64548,2.72305,2.79402,2.85822,2.91549,2.96567,3.00864,3.0443,3.07256,3.09333,3.10658,3.11226,3.11037,3.1009,3.08388,3.05936,3.0274,2.98807,2.94147,2.88773,2.82698,2.75937,2.68508,2.60429,2.5172,2.42404,2.32504,2.22045,2.11054,1.99557,1.87586
0.225,0.375733,0.526085,0.675677,0.82413,0.97107,1.11612,1.25893,1.39912,1.53635,1.67026,1.80052,1.92681,2.04879,2.16617,2.27864,2.38593,2.48775,2.58387,2.67402,2.75798,2.83555,2.90652,2.97072,3.02799,3.07817,3.12114,3.1568,3.18506,3.20583,3.21908,3.22476,3.22287,3.2134,3.19638,3.17186,3.1399,3.10057,3.05397,3.00023,2.93948,2.87187,2.79758,2.71679,2.6297,2.53654,2.43754,2.33295,2.22304,2.10807,1.98836
0.3375,0.488233,0.638585,0.788177,0.93663,1.08357,1.22862,1.37143,1.51162,1.64885,1.78276,1.91302,2.03931,2.16129,2.27867,2.39114,2.49843,2.60025,2.69637,2.78652,2.87048,2.94805,3.01902,3.08322,3.14049,3.19067,3.23364,3.2693,3.29756,3.31833,3.33158,3.33726,3.33537,3.3259,3.30888,3.28436,3.2524,3.21307,3.16647,3.11273,3.05198,2.98437,2.91008,2.82929,2.7422,2.64904,2.55004,2.44545,2.33554,2.22057,2.10086
0.45,0.600733,0.751085,0.900677,1.04913,1.19607,1.34112,1.48393,1.62412,1.76135,1.89526,2.02552,2.15181,2.27379,2.39117,2.50364,2.61093,2.71275,2.80887,2.89902,2.98298,3.06055,3.13152,3.19572,3.25299,3.30317,3.34614,3.3818,3.41006,3.43083,3.44408,3.44976,3.44787,3.4384,3.42138,3.39686,3.3649,3.32557,3.27897,3.22523,3.16448,3.09687,3.02258,2.94179,2.8547,2.76154,2.66254,2.55795,2.44804,2.33307,2.21336
0.5625,0.713233,0.863585,1.01318,1.16163,1.30857,1.45362,1.59643,1.73662,1.87385,2.00776,2.13802,2.26431,2.38629,2.50367,2.61614,2.72343,2.82525,2.92137,3.01152,3.09548,3.17305,3.24402,3.30822,3.36549,3.41567,3.45864,3.4943,3.52256,3.54333,3.55658,3.56226,3.56037,3.5509,3.53388,3.50936,3.4774,3.43807,3.39147,3.33773,3.27698,3.20937,3.13508,3.05429,2.9672,2.87404,2.77504,2.67045,2.56054,2.44557,2.32586
0.675,0.825733,0.976085,1.12568,1.27413,1.42107,1.56612,1.70893,1.84912,1.98635,2.12026,2.25052,2.37681,2.49879,2.61617,2.72864,2.83593,2.93775,3.03387,3.12402,3.20798,3.28555,3.35652,3.42072,3.47799,3.52817,3.57114,3.6068,3.63506,3.65583,3.66908,3.67476,3.67287,3.6634,3.64638,3.62186,3.5899,3.55057,3.50397,3.45023,3.38948,3.32187,3.24758,3.16679,3.0797,2.98654,2.88754,2.78295,2.67304,2.55807,2.43836
0.7875,0.938233,1.08859,1.23818,1.38663,1.53357,1.67862,1.82143,1.96162,2.09885,2.23276,2.36302,2.48931,2.61129,2.72867,2.84114,2.94843,3.05025,3.14637,3.23652,3.32048,3.39805,3.46902,3.53322,3.59049,3.64067,3.68364,3.7193,3.74756,3.76833,3.78158,3.78726,3.78537,3.7759,3.75888,3.73436,3.7024,3.66307,3.61647,3.56273,3.50198,3.43437,3.36008,3.27929,3.1922,3.09904,3.00004,2.89545,2.78554,2.67057,2.55086
0.9,1.05073,1.20109,1.35068,1.49913,1.64607,1.79112,1.93393,2.07412,2.21135,2.34526,2.47552,2.60181,2.72379,2.84117,2.95364,3.06093,3.16275,3.25887,3.34902,3.43298,3.51055,3.58152,3.64572,3.70299,3.75317,3.79614,3.8318,3.86006,3.88083,3.89408,3.89976,3.89787,3.8884,3.87138,3.84686,3.8149,3.77557,3.72897,3.67523,3.61448,3.54687,3.47258,3.39179,3.3047,3.21154,3.11254,3.00795,2.89804,2.78307,2.66336
